ITEM NO.,DESCRIPTION,QUANTITY
SF-XT0023,XTREME FPC KETCHUP 12pX140g,0.0
SF-SP0495,Synchronising belt,0.0
SF-XT0022,XTREME FPC KECTHUP 12px110g,0.0
SF-SP0492,Bearing,3.0
SF-XT0021,XTREME FPC KETCHUP 48px50g,0.0
SF-SP0493,Relay,2.0
SF-XT0020,XTREME CRINKLE KETCHIP 28px50g PRO,0.0
TRANSP,Transportation,0.0
SF-STD0010,ROLLUP BANNER XL STAND,43.0
SF-STD0002,XL Display Yellow Stand 165cmX50cm,3.0
SF-STD0001,XTREME DISPLAY CARTON,2640.0
SF-STD0006,FIESTA DISPLAY STAND,190.0
SF-STD0005,AMIGO DISPLAY STAND,125.0
SF-STD0004,TWINKLE DISPLAY STAND,200.0
SF-STD0003,RAJA DISPLAY STAND,100.0
SF-STD0009,XL FLOUR SCREEN DISPLAY STAND/B,5.0
SF-STD0008,XL FLOUR SCREEN DISPLAY STAND/A,5.0
SF-STD0007,XTREME DISPLAY STAND,0.0
SF-YH0005,YAHOO CB CHEESE 12x70g,0.0
SF-YH0004,YAHOO CB CHEESE-24x60g,0.0
SF-YH0003,YAHOO CB CHEESE-2x25x30g,0.0
SF-YH0002,YAHOO CB C/CH-2x25x30g,0.0
SF-YH0001,YAHOO CB C/CH-2x25x20g,0.0
SF-CPM00910,Partition - 16x400g 3Ply Wishes Carton-Set of 4pcs,680.0
SF-SP1801,Cutter Supporter ,0.0
SF-SP1800,Conveyor Belt ,4.0
SF-CPM00902,Glue Tape For Wishes Box,0.0
SF-CPM00908,Carton - 12x250g 5Ply LaRonda Wishes Pouch,0.0
SF-CPM00909,Partition - 8x650g 3Ply Wishes Carton- Set of 2pcs,1200.0
SF-SP1830,PWB:P-5428:D-1 Board ,2.0
SF-XT0038,XTREME CRINKLE PROMO PACK 12*185g (HOT+KET+HOT) ,0.0
SF-XT0037,XTREME STICK SALT 50p x 12g,0.0
SF-XT0036,XTREME STICK KETCHUP 50p x 12g,0.0
SF-XT0035,XTREME STICK CHICKEN 50p x 12g,0.0
SF-SP0502,Reley ,3.0
SF-SP1834,PVC belt (L18120MM *W520MM T3),0.0
SF-SP0503,Lithium battery for cpu,1.0
SF-SP1833,PVC Belt (L1710033MM *W520MM T3),0.0
SF-SP0500,Solid State Relay KBF-608,3.0
SF-SP1832,PWB AS:P5207:A,6.0
SF-SP0501,Heater,0.0
SF-SP1831,PWB:P-5439:E-2,2.0
SF-XT0039,XTREME STICK KETCHUP 2 x 25p x 12g,0.0
SF-XT0030,XTREME STICK SAL & VIN 50px12gm,0.0
SF-CPM00951,Pouch - 250g Chocodate Exclusive Real Dark,0.0
SF-XT0034,XTREME CRINKLE PROMO PACK 12*185g (KET+HOT+KET) ,0.0
LPM02293,Box - 271g(24pc) Galaxy Fusion Gifting,9378.5
SF-CPM00950,Pouch - 250g Chocodate Exclusive Real Milk,0.0
SF-XT0033,XTREME STICK HOT & SPICY 50p x 12g,270.0
LPM02294,Carton - 10x271g(24pc) Galaxy Fusion Gifting,653.0
